KPI_1,KPI_5,KPI_2,KPI_4,Driver_9,Driver_11,Driver_20,Driver_12,Driver_6,Driver_17,Driver_19,Driver_5,KPI_3,Driver_1,Driver_18,Driver_16,Driver_3,Driver_13,Driver_4,Driver_7,Driver_10,Driver_15,Driver_8,Driver_2,Driver_14,Driver_21
2200,19865681,28189737,18586625,12814,104406,0.075,0.093,0.249,0.123,193188,492,165,105,421,270,190,37,5663745,107,0.588,0.224,0.086645102,0.587920898,0.016818182,9029.855
5540,44677697,75838866,57495682,13689,109121,0.076,0.095,0.251,0.126,193949,1021,423,272,1083,695,493,128,21210718,104,0.642,0.184,0.070658237,0.642318841,0.023104693,8064.566245
5999,49802023,86894142,68040018,14485,106358,0.084,0.104,0.272,0.136,197484,1131,502,315,1159,817,517,105,17180116,100,0.647,0.189,0.08045977,0.647141316,0.017502917,8301.720787
6963,50565241,115095635,90577386,16530,116494,0.09,0.111,0.271,0.142,202998,1315,624,364,1341,988,563,133,25471068,109,0.65,0.189,0.081344902,0.649594179,0.019100962,7261.990665
7119,41846810,116268576,89435655,16332,113766,0.09,0.111,0.282,0.144,201800,1424,640,382,1356,1022,487,126,21135344,116,0.561,0.2,0.078609486,0.560771957,0.017699115,5878.186543
7705,44401580,137856161,106163581,17892,98893,0.113,0.141,0.341,0.181,204585,1591,874,520,1523,1394,619,131,24210799,116,0.654,0.206,0.116856256,0.654296875,0.017001947,5762.69695
9345,55974181,172569817,127592324,18467,104524,0.115,0.143,0.314,0.177,202662,2095,1071,580,1850,1651,767,141,24793752,117,0.63,0.224,0.113434602,0.629716981,0.015088283,5989.746495
7641,45403245,153557599,116520609,20097,121774,0.098,0.123,0.329,0.165,210276,1865,752,509,1548,1261,605,117,19753242,108,0.673,0.244,0.096685083,0.673393849,0.015312132,5942.055359
7491,49874363,124620428,93336300,16636,96680,0.097,0.126,0.324,0.172,212423,1746,725,564,1739,1289,574,114,21417672,113,0.612,0.233,0.095679621,0.612009804,0.015218262,6657.904552
8046,48039421,144081371,109242512,17907,106885,0.098,0.125,0.323,0.168,210483,1815,788,560,1734,1348,533,134,25404103,121,0.645,0.226,0.090808006,0.644814874,0.016654238,5970.596694
7053,50753220,140224287,104763411,19882,120158,0.105,0.131,0.3,0.166,205465,1587,739,428,1427,1167,529,90,16005566,121,0.639,0.225,0.09890731,0.639321972,0.012760527,7195.97618
9001,52228383,144301526,102313983,16032,108743,0.088,0.11,0.298,0.147,195173,1933,796,531,1783,1327,623,168,31339326,119,0.631,0.215,0.095652174,0.630719641,0.018664593,5802.508943
8455,54462640,134416584,107975623,15898,109016,0.097,0.119,0.266,0.146,195379,1676,819,414,1559,1233,561,104,18000602,136,0.667,0.198,0.110227273,0.666798107,0.012300414,6441.471319
7312,61090803,138662158,104126282,18964,119536,0.101,0.125,0.295,0.159,196858,1271,735,425,1442,1160,679,108,18134820,128,0.672,0.174,0.094295584,0.672367816,0.014770241,8354.869119
9147,84810397,141700337,108627378,15491,114274,0.086,0.106,0.264,0.136,198844,1503,786,454,1722,1240,804,130,21843630,135,0.638,0.164,0.082692308,0.638355782,0.01421231,9271.935826
10978,65937121,152578126,109489470,13899,114120,0.074,0.091,0.262,0.122,197794,2036,814,523,2000,1337,708,251,41859426,136,0.618,0.185,0.066799061,0.618095828,0.02286391,6006.29632
11398,61313680,156879341,122834689,13764,109783,0.077,0.094,0.268,0.125,201208,2148,878,551,2053,1429,656,256,46537441,131,0.546,0.188,0.0660434,0.545698281,0.022460081,5379.336726
8371,60878322,136251375,102697720,16277,106613,0.094,0.118,0.289,0.153,185678,1629,783,495,1711,1278,695,135,21852765,143,0.538,0.195,0.097713098,0.53753291,0.016127105,7272.526819
10118,73086210,179004912,137724469,17692,110293,0.094,0.121,0.303,0.16,179415,2099,954,669,2209,1623,828,139,22004064,143,0.491,0.207,0.092537901,0.49071245,0.013737893,7223.385056
9522,83584973,164430717,118474879,17269,106982,0.088,0.115,0.318,0.161,189658,2201,840,697,2192,1537,820,172,28467920,142,0.594,0.231,0.086597127,0.594493351,0.018063432,8778.090002
8807,62180244,143233695,102265610,16264,100304,0.085,0.113,0.309,0.162,192166,2133,745,683,2210,1428,661,159,28874488,140,0.571,0.242,0.083661417,0.570512405,0.018053821,7060.320654
9813,48577853,141075600,101530560,14376,101860,0.076,0.098,0.288,0.141,190438,2035,746,639,2222,1385,533,186,33377476,144,0.588,0.207,0.069782389,0.58760479,0.018954448,4950.356975
9330,50293460,170553414,122350357,18280,111473,0.099,0.126,0.304,0.164,180214,1928,919,611,2012,1530,583,164,26407420,141,0.63,0.207,0.092696629,0.629852157,0.017577706,5390.510182
9444,55712832,147536336,101548857,15622,99957,0.085,0.11,0.31,0.156,183785,2166,799,677,2184,1476,591,185,33718846,150,0.634,0.229,0.092091008,0.634293774,0.019589157,5899.283355
8955,58740665,143347600,101028227,16008,109010,0.085,0.109,0.285,0.147,195198,1892,765,550,1931,1315,583,185,31806199,151,0.642,0.211,0.098197782,0.641521599,0.02065885,6559.538247
8064,60220957,121162450,89168531,15025,111465,0.083,0.105,0.244,0.135,197175,1588,667,420,1724,1087,558,160,26180063,158,0.664,0.197,0.077555597,0.663867622,0.01984127,7467.876612
8810,58700771,115134228,83420273,13069,107401,0.072,0.091,0.235,0.122,198587,1402,632,440,1875,1072,522,259,43346515,154,0.599,0.159,0.069131061,0.598871593,0.029398411,6662.970602
7694,41080297,92319605,68075045,11999,104552,0.069,0.087,0.216,0.115,202531,1051,527,356,1651,883,392,228,44258978,149,0.575,0.137,0.06189451,0.574994395,0.029633481,5339.263972
8769,50945893,74206206,52767365,8462,90275,0.053,0.069,0.176,0.094,210977,1198,468,354,2009,822,455,213,38602510,146,0.61,0.137,0.045295274,0.609508584,0.024290113,5809.772266
7965,0,0,0,0,NA,0,0,NA,0,211046,0,0,0,0,0,0,0,0,149,0.574,0,0,0.573640619,0,0
