KPI_1,KPI_5,KPI_2,KPI_4,Driver_9,Driver_11,Driver_20,Driver_12,Driver_6,Driver_17,Driver_19,Driver_5,KPI_3,Driver_1,Driver_18,Driver_16,Driver_3,Driver_13,Driver_4,Driver_7,Driver_10,Driver_15,Driver_8,Driver_2,Driver_14,Driver_21
3311,15138300,10722260,9334136,3238,23774,0.116,0.126,0.252,0.136,23422,854,384,67,266,451,571,37,538302,139,0.71,0.26,0.103405242,0.711583924,0.011174872,4572.123226
7569,35146888,29113444,25431024,3846,21235,0.154,0.168,0.328,0.181,23235,1713,1168,203,619,1371,1378,109,1790682,143,0.72,0.23,0.138315071,0.724930562,0.014400846,4643.531246
8342,34028646,31906729,26464184,3825,20414,0.159,0.173,0.346,0.187,24587,1867,1325,238,688,1563,1376,113,1529472,151,0.71,0.22,0.139217231,0.709414066,0.013545912,4079.195157
9349,38008761,41261072,34376376,4413,21648,0.174,0.191,0.337,0.204,25858,2105,1625,281,834,1906,1518,148,2825572,136,0.75,0.23,0.152738764,0.746665602,0.01583057,4065.542946
9775,39605245,43432690,36442822,4443,20117,0.189,0.207,0.369,0.221,25886,2241,1844,315,854,2159,1517,123,2134969,145,0.75,0.23,0.192229455,0.754942848,0.01258312,4051.687468
9357,31156912,43328282,36898853,4631,19456,0.205,0.226,0.361,0.238,25083,2101,1920,307,851,2227,1395,170,2662753,138,0.68,0.22,0.207531889,0.676866319,0.018168216,3329.797157
10090,35708721,44802152,38204327,4440,19650,0.193,0.212,0.372,0.226,25636,2589,1948,332,893,2280,1533,130,2081421,152,0.64,0.26,0.181442136,0.636753755,0.012884044,3539.020912
8684,28741730,38443774,30664329,4427,20159,0.184,0.203,0.388,0.22,24044,2233,1601,306,788,1907,1236,121,2203788,177,0.64,0.26,0.173339614,0.637544967,0.013933671,3309.733994
9139,32551640,38784618,32212443,4244,20179,0.175,0.195,0.341,0.21,26033,2302,1601,321,940,1922,1326,114,1366328,171,0.68,0.25,0.165562914,0.682524272,0.012474012,3561.838276
10124,36436618,40322169,32183989,3983,19219,0.171,0.191,0.35,0.207,26065,2499,1727,371,1059,2098,1374,143,2559884,197,0.71,0.25,0.166261546,0.707675101,0.014124852,3599.033781
8975,34377643,39367889,32584381,4386,20874,0.172,0.192,0.358,0.21,25702,2075,1542,344,960,1886,1349,121,2012594,223,0.73,0.23,0.15394254,0.731995759,0.013481894,3830.37805
12297,52525248,46810494,38747310,3807,19496,0.164,0.181,0.343,0.195,23148,2792,2020,381,1112,2401,1966,173,2254355,212,0.78,0.23,0.150735294,0.782102652,0.014068472,4271.387168
11995,48310322,47416847,39417475,3953,20333,0.164,0.179,0.356,0.194,22327,2827,1965,367,1032,2332,1857,165,3125788,197,0.74,0.24,0.142869588,0.738562896,0.013755732,4027.538308
9806,38019723,39089214,32629839,3986,19603,0.173,0.188,0.383,0.203,22607,2092,1701,293,766,1994,1492,156,2698691,212,0.7,0.21,0.155673535,0.704302234,0.015908627,3877.189782
11657,48242048,46121042,40016048,3957,19145,0.177,0.192,0.378,0.207,22749,2451,2059,350,926,2409,1954,140,2230564,219,0.72,0.21,0.152652005,0.722556251,0.012009951,4138.461697
13615,46266445,49658869,40849459,3647,18832,0.164,0.179,0.365,0.194,22183,3059,2238,399,1092,2637,2060,173,2754601,220,0.69,0.22,0.142151339,0.69418243,0.012706574,3398.196474
13572,45346759,46823079,38852257,3450,18348,0.157,0.172,0.362,0.188,23327,3080,2128,424,1171,2552,2061,173,3998494,213,0.65,0.23,0.160334967,0.648292333,0.012746832,3341.199455
12257,42203088,49281336,41533111,4021,18962,0.178,0.196,0.378,0.212,23460,2721,2185,414,1096,2599,2024,144,2821202,250,0.64,0.22,0.180344478,0.643040764,0.011748389,3443.182508
12780,49347435,54369465,46879429,4254,21082,0.17,0.187,0.355,0.202,23604,3204,2171,408,1148,2579,2183,161,2776481,252,0.55,0.25,0.159429804,0.545152071,0.012597809,3861.301643
12770,57610662,52431353,41368099,4106,20610,0.165,0.181,0.389,0.199,23484,3432,2103,441,1133,2544,2490,147,2828728,295,0.62,0.27,0.15478424,0.616372237,0.011511355,4511.406578
11731,46875281,47902448,38443013,4083,20102,0.16,0.18,0.383,0.203,24856,3256,1880,503,1313,2383,2072,146,2576586,295,0.66,0.28,0.150305308,0.660864177,0.012445657,3995.846987
13673,58548105,43437107,33818609,3177,18213,0.138,0.154,0.347,0.174,22129,3179,1893,492,1417,2385,2448,174,3080189,285,0.69,0.23,0.134634146,0.689302279,0.01272581,4282.023331
14269,63016227,53245595,40767938,3732,20292,0.148,0.165,0.354,0.184,20211,3248,2116,508,1435,2624,2625,163,2940828,337,0.68,0.23,0.132735426,0.683708673,0.011423365,4416.302964
14034,65319886,54802563,40454761,3905,20525,0.152,0.169,0.378,0.19,19534,3085,2129,541,1433,2670,2520,131,2458911,315,0.68,0.22,0.142428786,0.680568353,0.009334473,4654.402594
14229,62619588,47863464,36365829,3364,20111,0.136,0.15,0.326,0.167,20580,2908,1930,450,1381,2380,2404,140,2790781,309,0.66,0.2,0.123143788,0.664161688,0.009839061,4400.842505
12626,52270143,40835381,31223017,3234,18879,0.141,0.155,0.334,0.171,20951,2409,1781,382,1145,2163,2190,113,1764625,287,0.65,0.19,0.12760181,0.652573909,0.008949786,4139.881435
12513,51317441,38118646,31660504,3046,18256,0.136,0.151,0.314,0.167,22480,2153,1708,380,1209,2088,2368,115,2246063,288,0.65,0.17,0.118178658,0.648006214,0.009190442,4101.130105
12199,50296576,37014016,29324406,3034,18360,0.136,0.15,0.307,0.165,22528,1937,1653,363,1183,2016,1955,130,2961274,290,0.68,0.16,0.118477219,0.676970033,0.010656611,4123.008115
13341,48343701,38487220,33103284,2885,18566,0.128,0.142,0.274,0.155,24390,2003,1714,359,1312,2073,1829,124,2356109,288,0.67,0.15,0.130665578,0.673006104,0.009294656,3623.693951
12810,0,0,0,0,NA,0,0,NA,0,23905,0,0,0,0,0,0,0,0,287,1.98,0,0,1.980213325,0,0
