KPI_1,KPI_5,KPI_2,KPI_4,Driver_9,Driver_11,Driver_20,Driver_12,Driver_6,Driver_17,Driver_19,Driver_5,KPI_3,Driver_1,Driver_18,Driver_16,Driver_3,Driver_13,Driver_4,Driver_7,Driver_10,Driver_15,Driver_8,Driver_2,Driver_14,Driver_21
1129,18029490,54637270,37681016,48394,290624,0.067,0.099,0.308,0.167,596613,170,76,112,364,188,94,13,5565399,107,0.558,0.151,0.077402957,0.558358061,0.011514615,15969.43313
2668,25176340,104100021,61388558,39018,233408,0.064,0.095,0.318,0.167,606867,359,171,275,864,446,175,40,17803235,104,0.588,0.135,0.059501673,0.587665198,0.014992504,9436.409295
2973,29532007,131450533,70423506,44215,252304,0.071,0.104,0.326,0.175,612701,460,211,310,951,521,173,37,20715215,100,0.609,0.155,0.068007663,0.608971733,0.012445341,9933.40296
3342,26493314,140067879,89867981,41911,229244,0.073,0.108,0.341,0.183,623165,529,245,366,1072,611,187,29,13602484,109,0.62,0.158,0.065979754,0.619692194,0.008677439,7927.383004
3629,17942413,147794234,91530945,40726,234967,0.071,0.103,0.325,0.173,600507,599,256,373,1149,629,157,38,18600958,116,0.542,0.165,0.06201415,0.542046303,0.010471204,4944.17553
3699,25651665,168965480,102389771,45679,218867,0.086,0.13,0.362,0.209,616701,687,318,454,1254,772,220,45,20872863,116,0.61,0.186,0.08893485,0.609792285,0.01216545,6934.756691
4312,35330991,206893165,121811818,47981,229118,0.087,0.128,0.38,0.209,599394,911,374,529,1394,903,277,56,29894434,117,0.591,0.211,0.085815743,0.591332968,0.012987013,8193.643553
3932,26801556,187748426,87585267,47749,218821,0.075,0.115,0.413,0.218,632826,853,295,563,1362,858,213,37,15791055,108,0.655,0.217,0.073993686,0.65500583,0.009409969,6816.265514
4255,35929245,184505628,97440498,43362,191396,0.07,0.113,0.408,0.227,644967,895,296,668,1637,964,232,41,21353029,113,0.606,0.21,0.069047149,0.606298091,0.009635723,8444.005875
3838,27609475,206135184,118767494,53709,247461,0.082,0.126,0.385,0.217,632583,711,314,519,1349,833,170,48,25950076,121,0.63,0.185,0.075982209,0.630006566,0.012506514,7193.714174
3475,29936096,184911627,102582922,53212,239833,0.087,0.135,0.378,0.222,615080,584,301,470,1244,771,179,21,10062237,121,0.609,0.168,0.081951771,0.608901349,0.006043165,8614.703885
4828,37887021,218268332,128880846,45209,223178,0.074,0.114,0.365,0.203,596832,822,356,622,1704,978,248,72,38516215,119,0.596,0.17,0.080434783,0.596049383,0.014913007,7847.353148
4601,35224056,241927550,146938303,52582,265271,0.08,0.121,0.353,0.198,603065,695,370,542,1535,912,218,34,15448811,136,0.625,0.151,0.090909091,0.625475802,0.007389698,7655.739187
3730,39106481,207267911,133243708,55568,277839,0.09,0.134,0.337,0.2,614802,541,336,410,1215,746,206,37,16196889,128,0.637,0.145,0.084025768,0.636844801,0.009919571,10484.31126
5483,64753355,215200135,131876701,39249,223468,0.063,0.095,0.334,0.176,627554,783,344,619,1855,963,309,42,25960055,135,0.615,0.143,0.060576923,0.614961866,0.00766004,11809.84042
5824,40999054,231146882,141342641,39689,239530,0.067,0.098,0.315,0.166,614631,861,390,575,1826,965,240,87,38382006,136,0.593,0.148,0.060480231,0.592532302,0.014938187,7039.672734
5491,31159467,254686379,158045380,46383,258828,0.073,0.108,0.327,0.179,613498,851,402,582,1782,984,202,63,35062768,131,0.519,0.155,0.062612574,0.519047169,0.01147332,5674.643416
4102,34275023,184548917,107264563,44990,227838,0.07,0.108,0.36,0.198,583681,687,286,524,1456,810,251,45,17962201,143,0.509,0.167,0.072765073,0.509248914,0.010970258,8355.685763
4887,32803423,190696110,110762115,39021,181615,0.072,0.112,0.403,0.215,552805,851,354,696,1728,1050,253,49,22139141,143,0.481,0.174,0.070880095,0.481051285,0.010026601,6712.384489
4669,47059282,199219643,113384527,42669,203493,0.07,0.111,0.378,0.21,590087,956,328,651,1723,979,249,48,26317756,142,0.549,0.205,0.068884078,0.54884213,0.010280574,10079.09231
5123,33417366,219265486,122404537,42800,183179,0.07,0.115,0.418,0.234,582034,1109,357,840,2008,1197,242,47,21063909,140,0.549,0.216,0.068897638,0.549324469,0.009174312,6523.007222
4507,26862303,183045986,116145875,40614,213589,0.074,0.11,0.359,0.19,599316,800,334,523,1458,857,164,54,25600232,144,0.587,0.178,0.06794601,0.586848958,0.011981362,5960.129354
3896,17882529,152362907,102057690,39108,245351,0.075,0.102,0.315,0.159,595088,636,292,329,1044,621,139,41,18188096,141,0.602,0.163,0.070224719,0.601513046,0.010523614,4589.971509
4278,23325642,229292302,135041134,53598,284835,0.082,0.116,0.361,0.188,599282,696,352,453,1254,805,166,44,23776170,150,0.577,0.163,0.088840737,0.576627578,0.01028518,5452.464236
3672,23313726,189983726,124426486,51738,282294,0.086,0.12,0.342,0.183,650434,563,316,357,1043,673,140,60,34624953,151,0.544,0.153,0.09935305,0.543677821,0.016339869,6349.053922
3560,18644716,171966412,123316912,48305,282375,0.088,0.122,0.3,0.171,641158,505,313,296,988,609,120,44,22933121,158,0.62,0.142,0.082227621,0.620317128,0.012359551,5237.279775
3764,21321478,137472675,93280663,36523,249045,0.069,0.095,0.282,0.147,634687,405,260,292,1036,552,136,64,34707110,154,0.569,0.108,0.0662506,0.569354107,0.017003188,5664.579702
3744,16615505,96574157,65746763,25794,199122,0.063,0.087,0.243,0.13,644397,425,236,249,1025,485,88,72,41058303,149,0.543,0.114,0.056512379,0.542530068,0.019230769,4437.901976
4060,14750159,75137078,47934933,18507,175145,0.045,0.063,0.211,0.106,662737,445,183,246,1167,429,94,72,39143742,146,0.58,0.11,0.038458251,0.579503283,0.01773399,3633.044089
3777,0,0,0,0,NA,0,0,NA,0,676525,0,0,0,0,0,0,0,0,149,0.538,0,0,0.538340935,0,0
