KPI_1,KPI_5,KPI_2,KPI_4,Driver_9,Driver_11,Driver_20,Driver_12,Driver_6,Driver_17,Driver_19,Driver_5,KPI_3,Driver_1,Driver_18,Driver_16,Driver_3,Driver_13,Driver_4,Driver_7,Driver_10,Driver_15,Driver_8,Driver_2,Driver_14,Driver_21
2452,8255999,11647342,9641323,4750,39217,0.092,0.104,0.262,0.121,41676,644,226,71,271,297,246,26,1095339,139,0.69,0.26,0.082011054,0.686258046,0.010603589,3367.0469
5358,20844395,29492636,24723391,5504,40072,0.103,0.119,0.256,0.137,41997,1193,552,184,719,736,542,73,2769685,143,0.7,0.22,0.092509431,0.697928878,0.013624487,3890.33128
6179,25293584,41375780,30551493,6696,40485,0.121,0.141,0.31,0.165,42456,1290,747,275,887,1022,573,93,3325208,151,0.68,0.21,0.105945189,0.68465374,0.015050979,4093.47532
6933,26541346,45197954,34889596,6519,38830,0.128,0.148,0.29,0.168,43147,1492,885,279,962,1164,684,106,3857296,136,0.73,0.22,0.112359551,0.726044612,0.015289197,3828.262801
7359,23487904,45425466,35462486,6173,35489,0.129,0.15,0.322,0.174,44524,1642,947,333,1034,1280,570,94,3353792,145,0.74,0.22,0.131204231,0.741162252,0.012773475,3191.724963
6363,26453032,47763740,37826107,7506,36517,0.157,0.182,0.347,0.206,42635,1371,997,311,895,1308,624,84,2477311,138,0.64,0.22,0.158939056,0.641366798,0.01320132,4157.320761
7435,29010859,54505454,43594598,7331,38249,0.149,0.173,0.309,0.192,44291,1722,1106,319,1031,1425,739,98,3974089,152,0.6,0.23,0.140077089,0.597188755,0.013180901,3901.931271
5744,23304551,42428214,34292317,7387,38783,0.145,0.168,0.329,0.19,42266,1493,831,263,800,1094,601,71,2109982,177,0.61,0.26,0.136599152,0.605715491,0.012360724,4057.19899
6345,22953752,41879288,31852608,6600,38072,0.124,0.146,0.325,0.173,44273,1598,785,315,968,1100,613,79,2913022,171,0.64,0.25,0.11731315,0.639616935,0.012450749,3617.612608
7161,30271992,43197031,33591076,6032,35789,0.122,0.143,0.313,0.169,44067,1778,871,336,1073,1207,608,90,3193563,197,0.66,0.25,0.118619349,0.655589124,0.012568077,4227.341433
6159,26779969,42211708,33670125,6854,38905,0.126,0.15,0.312,0.176,42821,1577,779,306,980,1085,564,102,4326192,223,0.68,0.26,0.112771861,0.6831189,0.01656113,4348.103426
9093,38996557,59638864,46633852,6559,40378,0.119,0.14,0.283,0.162,41010,2085,1078,399,1409,1477,937,124,4214406,212,0.68,0.23,0.109375,0.679088872,0.013636864,4288.634884
