KPI_1,KPI_5,KPI_2,KPI_4,Driver_9,Driver_11,Driver_20,Driver_12,Driver_6,Driver_17,Driver_19,Driver_5,KPI_3,Driver_1,Driver_18,Driver_16,Driver_3,Driver_13,Driver_4,Driver_7,Driver_10,Driver_15,Driver_8,Driver_2,Driver_14,Driver_21
8843,36365991,52831918,42206719,5974,36562,0.12,0.142,0.284,0.163,40960,2126,1060,385,1355,1445,795,100,4003647,197,0.67,0.24,0.104538723,0.671807339,0.01130838,4112.404275
7310,32603078,51375148,40425979,7028,39489,0.131,0.155,0.31,0.178,41742,1514,960,341,1099,1301,742,99,3773528,212,0.66,0.21,0.11787996,0.655017921,0.013543092,4460.06539
8347,41778889,66105691,50811849,7920,41972,0.139,0.164,0.33,0.189,43248,1717,1164,411,1245,1575,944,110,4191923,219,0.68,0.21,0.119879258,0.675596924,0.013178387,5005.258057
10425,33917936,67194824,55080812,6446,43718,0.108,0.126,0.277,0.147,44095,2124,1126,411,1483,1537,892,143,5605469,220,0.67,0.2,0.093611858,0.669384872,0.013717026,3253.519041
11278,39176554,69194429,53155809,6135,42373,0.102,0.12,0.283,0.145,44872,2262,1152,481,1697,1633,901,142,6711298,213,0.61,0.2,0.104166667,0.611538879,0.012590885,3473.714666
8225,31302674,55449680,44876873,6742,39270,0.127,0.15,0.294,0.172,43882,1665,1046,366,1247,1412,791,121,4668867,250,0.52,0.2,0.128672746,0.522985948,0.014711246,3805.796231
7507,29232645,53194103,42179017,7086,45003,0.115,0.134,0.299,0.157,46011,1690,860,322,1076,1182,657,82,3335972,252,0.34,0.23,0.107849573,0.340886386,0.010923138,3894.051552
5824,22988387,48637838,36170843,8351,52187,0.115,0.135,0.295,0.16,48879,1403,667,265,897,932,547,94,4171100,295,0.32,0.24,0.107879925,0.324474901,0.01614011,3947.181834
7069,28052181,51826668,37490397,7332,47811,0.105,0.126,0.289,0.153,48184,1818,745,339,1173,1084,657,111,4601328,295,0.45,0.26,0.098637858,0.447178644,0.015702362,3968.337954
9290,33617400,52456650,34702669,5647,40664,0.089,0.108,0.277,0.139,44612,2075,823,467,1687,1290,776,159,6369251,285,0.49,0.22,0.086829268,0.490263338,0.017115178,3618.665231
9184,33448289,57683540,38983320,6281,42136,0.098,0.119,0.283,0.149,40683,2148,897,472,1667,1369,831,127,5672501,337,0.5,0.23,0.087892377,0.496030246,0.013828397,3642.01753
9923,42451633,67268724,44918164,6779,42602,0.098,0.122,0.314,0.159,39682,2352,975,604,1922,1579,969,154,5783423,315,0.58,0.24,0.091829085,0.581925874,0.0155195,4278.104706
9803,46770562,56914677,38618405,5806,42190,0.084,0.104,0.284,0.138,42585,2113,824,525,1847,1349,947,169,8131216,309,0.6,0.22,0.076059399,0.599865378,0.017239621,4771.045802
8615,45212164,51658436,36079028,5996,40934,0.095,0.115,0.293,0.146,43672,1817,815,447,1527,1262,956,154,6502193,287,0.59,0.21,0.085972851,0.590918444,0.017875798,5248.074753
9364,48851444,49416594,35714787,5277,39660,0.087,0.107,0.249,0.133,46077,1661,813,433,1742,1246,943,222,9629308,288,0.58,0.18,0.075599583,0.581542666,0.023707817,5216.941905
8944,40827833,44554722,30953247,4982,38146,0.086,0.108,0.217,0.131,46479,1439,772,396,1821,1168,715,191,9367604,290,0.6,0.16,0.074919418,0.603793965,0.021355098,4564.829271
9384,34569787,40520607,28846717,4318,36439,0.075,0.094,0.22,0.118,48441,1416,705,407,1853,1112,632,171,9191158,288,0.6,0.15,0.076561862,0.597973619,0.018222506,3683.907396
8427,0,0,0,0,NA,0,0,NA,0,48995,0,0,0,0,0,0,0,0,287,1.65,0,0,1.65138154,0,0
