ID,target_var,segment,MARITAL_STATUS,GNDR_CD,TTL_ASSET_AMT,age_n,tenure,FIRMS_BUSINESS_SEGMENT,login,Part_Category
74,0,3-Mid,Married,M,101569.52,40.02191781,6.984946478,Strategic,162,DIFM
75,0,3-Mid,Married,M,24982.23,48.89863014,13.04248073,Strategic,10,DIFM
76,0,5-Very High,Married,M,489938.15,54.14246575,21.7876862,Strategic,8,DIFM
77,1,2-Low,Single,M,56211.57,32.01917808,10.28083689,Strategic,6,Unengaged
78,0,4-High,Married,M,354841.09,45.8630137,11.79508197,Strategic,192,DIFM
79,0,2-Low,Married,M,67488.91,42.3260274,15.14933004,Strategic,32,DIFM
80,0,2-Low,Married,F,14349.85,45.69589041,8.153005465,Strategic,16,DIFM
81,1,5-Very High,Married,M,414853.9,68.13424658,18.7137136,Strategic,18,DIFM
82,0,4-High,Single,M,118279.39,61.38082192,29.52193278,Strategic,158,DIFM
83,0,4-High,Single,F,360560.29,58.6,18.65617936,Strategic,4,DIFM
84,0,4-High,Married,F,237295.04,56.03013699,24.43989071,Strategic,10,DIFM
85,0,4-High,Married,M,357392.12,54.41369863,23.36850812,Strategic,6,DIFM
86,0,2-Low,Married,M,43010.95,47.39726027,19.07809716,Strategic,102,Engaged
87,0,5-Very High,Married,M,652516.52,60.64109589,41.92193278,Strategic,348,DIFM
88,0,1-Very Low,Married,F,12424.38,65.95068493,11.37398757,Strategic,20,DIFM
89,1,4-High,Married,M,261962.23,55.18630137,31.20960401,Strategic,330,Engaged
90,0,2-Low,Single,F,11868.64,31.79178082,3.62295082,Strategic,92,DIFM
91,0,4-High,Married,F,266037.51,40.58630137,22.04796018,Strategic,34,Engaged
92,0,3-Mid,Single,M,48659.72,40.29863014,21.21782319,Strategic,126,DIFM
93,0,2-Low,Married,M,10287.3,39.37260274,12.25409836,Strategic,38,DIFM
94,0,3-Mid,Married,M,30596.84,66.76164384,8.390710383,Strategic,2,DIFM
95,0,3-Mid,Single,M,59782.42,49.18630137,15.9726776,Strategic,12,DIFM
96,0,2-Low,Married,F,68063.74,46.21643836,22.25891908,Strategic,84,DIFM
97,0,3-Mid,Single,F,21063.04,33.94246575,6.697275245,Strategic,72,Engaged
98,0,2-Low,Married,M,34112.29,31.93150685,6.639740999,Strategic,10,DIFM
99,0,4-High,Single,M,147830.5,50.89589041,17.83152182,Strategic,16,DIFM
100,0,3-Mid,Married,M,90510.16,58.06849315,6.732891684,Strategic,48,DIFM
101,0,2-Low,Single,F,38372.4,44.53972603,6.486316341,Strategic,36,DIFM
102,0,4-High,Married,M,159098.29,41.89863014,16.65617936,Strategic,16,DIFM
103,0,1-Very Low,Married,F,19691.01,36.68767123,9.532891684,Strategic,104,DIFM
104,0,2-Low,Married,M,70827.16,37.82465753,17.67809716,Strategic,26,Engaged
105,0,2-Low,Single,M,77767.69,40.76164384,9.647960177,Strategic,134,DIFM
106,1,2-Low,Married,F,3931.72,36.20273973,0.161202186,Large,6,Unengaged
107,1,3-Mid,Single,M,1836.12,59.12876712,32.54933004,Strategic,0,Engaged
108,0,4-High,Single,F,330.59,62.12054795,35.36302867,Strategic,0,Engaged
109,0,4-High,Single,F,22453.31,58.76712329,24.86439853,Strategic,0,Unengaged
110,1,3-Mid,Single,M,2.54,31.18356164,9.015083464,Select,0,Engaged
111,0,3-Mid,Single,M,25561.23,56.57260274,34.42878209,Strategic,2,Engaged
112,1,5-Very High,Single,M,499743.85,65.65479452,42.38220675,Strategic,0,Unengaged
115,1,2-Low,Single,M,49950.66,36.40547945,10.31919305,Strategic,26,Engaged
116,0,5-Very High,Married,M,174540.85,61.03561644,16.41803279,Mid,0,Unengaged
118,1,4-High,Married,M,99465.69,51.1369863,8.344262295,Strategic,24,Engaged
119,0,3-Mid,Married,F,40940.04,51.96986301,17.02604237,Select,0,Unengaged
120,1,5-Very High,Married,M,42714.39,62.29589041,14.55480949,Advisor,0,Engaged
121,0,5-Very High,Married,M,63298.65,43.20821918,18.25343963,Strategic,2,Engaged
122,0,4-High,Married,M,18225.8,36.36712329,10.43426155,Strategic,0,Unengaged
124,0,4-High,Single,F,2026.46,42.18630137,14.36302867,Select,0,Unengaged
125,1,4-High,Single,M,300.1,49.31232877,22.239741,Strategic,0,Engaged
126,0,2-Low,Single,M,7148.69,33.49041096,10.77946703,Select,2,Unengaged
127,0,4-High,Married,M,17159.62,49.30410959,12.19672131,Strategic,260,Engaged
128,0,2-Low,Married,M,1369.4,45.62191781,15.24796018,Strategic,2,Engaged
129,0,3-Mid,Married,M,2368.3,37.61917808,9.283576615,Select,0,Engaged
130,0,3-Mid,Single,M,6586.8,43.36986301,13.44248073,Large,0,Engaged
132,0,1-Very Low,Married,M,952.34,68.05479452,6.773987574,Strategic,10,Engaged
133,0,5-Very High,Married,M,476314.6,49.75068493,31.715847,Strategic,34,Engaged
134,0,5-Very High,Married,M,596347.27,52.49589041,33.72467251,Strategic,42,Engaged
135,0,3-Mid,Single,M,13753.77,55.17808219,6.771247848,Emerging,156,Engaged
136,0,3-Mid,Single,F,18778.22,37.59452055,9.437001273,Emerging,8,Engaged
137,0,1-Very Low,Single,F,82.52,67.66575343,17.37124785,Emerging,80,DIFM
138,0,4-High,Unknown,M,125287.71,37.93972603,9.015083464,Emerging,28,Engaged
139,0,4-High,Married,M,241540.71,49.29315069,16.86713826,Emerging,70,Engaged
140,0,2-Low,Single,M,67048.84,40.06575343,22.81508346,Emerging,4,Unengaged
141,0,3-Mid,Married,F,45028.81,61.13972603,23.88797814,Emerging,96,Unengaged
142,0,2-Low,Married,F,49076.49,37.98630137,16.58494648,Emerging,28,Unengaged
144,0,5-Very High,Single,F,6805.63,55.52054795,11.49453552,Select,2,DIFM
145,1,4-High,Unknown,M,241119.34,39.41917808,14.6506999,Emerging,12,DIFM
146,0,3-Mid,Married,M,93902.74,63.47945206,11.08083689,Emerging,8,DIFM
147,0,3-Mid,Married,U,35828.84,42.96438356,5.620562916,Emerging,8,Engaged
148,1,4-High,Single,M,153394.22,64.04109589,22.79864511,Emerging,0,Engaged
149,0,2-Low,Married,M,12270.4,39.45479452,21.90549442,Mid,24,Unengaged
150,1,5-Very High,Single,M,529383.24,41.42739726,19.08083689,Emerging,28,DIFM
151,0,4-High,Married,F,189445.28,64.14246575,9.878097163,Emerging,4,Engaged
152,0,3-Mid,Married,F,30566.81,59.61369863,7.080836889,Emerging,14,DIFM
153,0,3-Mid,Single,M,12405.48,37.46575343,11.20138483,Emerging,16,DIFM
154,0,3-Mid,Married,M,75357.13,53.58630137,22.67809716,Emerging,24,Engaged
155,0,3-Mid,Married,U,13720.46,58.49315069,13.82330264,Emerging,8,DIFM
156,0,4-High,Single,M,2790.21,47.14520548,0.494535519,Emerging,8,Engaged
157,0,5-Very High,Married,U,375397.72,59.93150685,36.86165881,Emerging,340,Engaged
158,0,3-Mid,Married,U,72947.71,67.01369863,17.19864511,Emerging,12,DIFM
159,1,4-High,Married,M,164138.92,47.39726027,7.442480725,Emerging,32,Engaged
160,1,5-Very High,Single,F,399700.75,43.64931507,17.66165881,Large,308,Engaged
161,0,2-Low,Single,M,30162.61,37.96986301,13.48083689,Large,2,Unengaged
162,1,5-Very High,Single,F,389548.03,66.80547945,16.64248073,Large,20,DIFM
163,1,5-Very High,Married,M,550970.67,59.38630137,9.379467026,Select,414,Engaged
164,0,2-Low,Single,F,63694.65,38.18630137,9.913713601,Select,14,Engaged
165,0,2-Low,Married,F,86558.98,33.69863014,8.765768396,Select,20,Engaged
166,0,3-Mid,Single,F,49334.35,55.26027397,15.35754922,Select,20,Engaged
167,0,3-Mid,Married,M,96743.53,53.58630137,15.24796018,Select,20,Engaged
171,0,4-High,Married,F,113402.39,50.92054795,27.78961749,Select,28,Unengaged
172,1,4-High,Married,M,223968.36,55.14246575,20.45628415,Select,240,Engaged
173,0,3-Mid,Married,F,58004.06,56.89315069,9.475357437,Select,72,Engaged
174,0,2-Low,Married,M,51117.84,44.02191781,8.306010929,Select,38,Engaged
175,1,4-High,Married,M,178335.15,47.72876712,12.25409836,Select,56,Engaged
176,0,5-Very High,Married,M,517654.68,57.44383562,38.72193278,Select,300,Engaged
177,0,3-Mid,Married,F,60257.08,54.18356164,8.59042593,Select,0,DIFM
178,0,4-High,Single,M,262000.87,44.8520548,16.85343963,Select,120,Engaged
179,0,3-Mid,Married,F,51766.9,28.86575343,6.831521821,Select,14,DIFM
180,1,5-Very High,Married,F,591402.47,58.64109589,38.10823415,Select,40,Engaged
182,0,4-High,Married,F,212170.46,50.23835616,13.39316566,Select,10,DIFM
183,0,2-Low,Single,M,42615.72,40.45479452,17.45617936,Select,18,Engaged
184,1,4-High,Married,M,264099.82,59.0739726,17.02604237,Select,224,Engaged
185,0,2-Low,Married,M,57186.15,40.80547945,9.946590314,Select,4,Unengaged
186,0,2-Low,Married,M,25826.59,29.24109589,6.921932779,Select,2,Engaged
189,0,2-Low,Single,F,23724.15,41.78082192,8.661658807,Strategic,44,Engaged
190,0,3-Mid,Married,F,44292.28,65.45753425,30.63426155,Strategic,10,Unengaged
191,0,3-Mid,Married,F,79901.23,60.8520548,11.90983607,Strategic,22,Engaged
192,0,3-Mid,Married,M,89348.43,53.15068493,10.00686429,Strategic,32,Unengaged
193,0,4-High,Married,F,284905.14,51.98356164,18.72467251,Strategic,122,Engaged
194,1,4-High,Married,F,255834.15,41.49863014,21.03152182,Strategic,26,Engaged
195,0,2-Low,Single,M,106663.42,42.11506849,19.17398757,Strategic,92,Engaged
196,0,4-High,Married,M,229958.83,45.32328767,16.52741223,Strategic,14,Engaged
197,1,5-Very High,Single,M,405684.78,54.90958904,26.85891908,Strategic,122,Engaged
198,0,5-Very High,Married,M,511061.97,48.88219178,27.62568306,Strategic,82,Engaged
199,0,4-High,Married,M,329372.78,54.21917808,29.06165881,Strategic,204,Engaged
200,1,4-High,Married,M,130617.53,52.0739726,8.344262295,Strategic,2,Engaged
201,0,1-Very Low,Single,F,1339.04,34.08219178,9.954809492,Strategic,6,Unengaged
202,0,4-High,Married,M,40272.15,60.78082192,6.793165656,Select,2,DIFM
203,0,4-High,Single,M,71868.99,43.88219178,8.932891684,Select,2,DIFM
204,1,5-Very High,Married,M,220270.27,58.48219178,11.98087432,Select,38,Engaged
205,0,3-Mid,Married,M,40580.1,39.66575343,7.904371585,Large,84,Engaged
206,1,4-High,Married,U,197751.01,63.40821918,35.48357662,Large,18,Engaged
207,0,3-Mid,Single,F,22713.49,58.11232877,8.861658807,Select,22,Engaged
208,0,2-Low,Single,F,5856.89,33.30410959,9.826042368,Select,6,Engaged
209,0,3-Mid,Married,F,90970.95,51.10410959,5.7767273,Select,8,Unengaged
210,1,4-High,Single,F,230845.59,45.84109589,17.98494648,Select,2,Unengaged
211,0,3-Mid,Married,U,59511.26,47.83013699,7.272617711,Select,10,DIFM
212,1,3-Mid,Single,F,85902.63,55.15342466,27.31919305,Select,44,DIFM
